frequency,fraction,average_precision,tau_star,edr_exact_anchor,edr_120_anchor,edr_120_tau_star
25S,0.4,0.9321573013184982,0.1781726480255356,0.8052631578947368,0.8052631578947368,0.8526315789473684
25S,0.5,0.9204426437471743,0.12526341962423734,0.802547770700637,0.802547770700637,0.8726114649681529
25S,0.6,0.9336448721319061,0.13139834108013992,0.8503937007874016,0.8503937007874016,0.8740157480314961
25S,0.7,0.9575070397356069,0.2544355458254974,0.8709677419354839,0.8709677419354839,0.9139784946236559
25S,0.8,0.9612132354670472,0.5818940669500594,0.875,0.875,0.875
15S,0.4,0.9211085616735939,0.30332701095936465,0.8,0.8,0.8315789473684211
15S,0.5,0.9096394781225966,0.29208613900015623,0.7961783439490446,0.7961783439490446,0.821656050955414
15S,0.6,0.9162601521150943,0.28799179197679864,0.8110236220472441,0.8110236220472441,0.8346456692913385
15S,0.7,0.9501661574633649,0.4263956609963625,0.8172043010752689,0.8172043010752689,0.8172043010752689
15S,0.8,0.9469700092291663,0.4580722407730828,0.796875,0.796875,0.8125
5S,0.4,0.8375031288745154,0.3657336515065963,0.6368421052631579,0.6368421052631579,0.6421052631578947
5S,0.5,0.8240812575101565,0.32544034304737984,0.6178343949044586,0.6178343949044586,0.643312101910828
5S,0.6,0.844644680845255,0.28044727653357054,0.6299212598425197,0.6299212598425197,0.6771653543307087
5S,0.7,0.8954953210058354,0.2600430927365281,0.6666666666666666,0.6666666666666666,0.7419354838709677
5S,0.8,0.8805003735288278,0.28836139178803405,0.640625,0.640625,0.71875
